Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
QV,Value of Agricultural Production,372,Ireland,57,Gross Production Value (current thousand US$),F2051,Agriculture,1991,1991,1000 US$,4991918,E,Estimated value
QV,Value of Agricultural Production,372,Ireland,57,Gross Production Value (current thousand US$),F2051,Agriculture,1992,1992,1000 US$,5495694,E,Estimated value
QV,Value of Agricultural Production,372,Ireland,57,Gross Production Value (current thousand US$),F2051,Agriculture,1993,1993,1000 US$,4761986,E,Estimated value
QV,Value of Agricultural Production,372,Ireland,57,Gross Production Value (current thousand US$),F2051,Agriculture,1994,1994,1000 US$,4645121,E,Estimated value
QV,Value of Agricultural Production,372,Ireland,57,Gross Production Value (current thousand US$),F2051,Agriculture,1995,1995,1000 US$,5276745,E,Estimated value
QV,Value of Agricultural Production,372,Ireland,57,Gross Production Value (current thousand US$),F2051,Agriculture,1996,1996,1000 US$,5416179,E,Estimated value
QV,Value of Agricultural Production,372,Ireland,57,Gross Production Value (current thousand US$),F2051,Agriculture,1997,1997,1000 US$,4859533,E,Estimated value
QV,Value of Agricultural Production,372,Ireland,57,Gross Production Value (current thousand US$),F2051,Agriculture,1998,1998,1000 US$,4422295,E,Estimated value
QV,Value of Agricultural Production,372,Ireland,57,Gross Production Value (current thousand US$),F2051,Agriculture,1999,1999,1000 US$,4256173,E,Estimated value
QV,Value of Agricultural Production,372,Ireland,57,Gross Production Value (current thousand US$),F2051,Agriculture,2000,2000,1000 US$,3882312,E,Estimated value
QV,Value of Agricultural Production,372,Ireland,57,Gross Production Value (current thousand US$),F2051,Agriculture,2001,2001,1000 US$,4006983,E,Estimated value
QV,Value of Agricultural Production,372,Ireland,57,Gross Production Value (current thousand US$),F2051,Agriculture,2002,2002,1000 US$,3864266,E,Estimated value
QV,Value of Agricultural Production,372,Ireland,57,Gross Production Value (current thousand US$),F2051,Agriculture,2003,2003,1000 US$,4802290,E,Estimated value
QV,Value of Agricultural Production,372,Ireland,57,Gross Production Value (current thousand US$),F2051,Agriculture,2004,2004,1000 US$,5443166,E,Estimated value
QV,Value of Agricultural Production,372,Ireland,57,Gross Production Value (current thousand US$),F2051,Agriculture,2005,2005,1000 US$,5038809,E,Estimated value
QV,Value of Agricultural Production,372,Ireland,57,Gross Production Value (current thousand US$),F2051,Agriculture,2006,2006,1000 US$,5129447,E,Estimated value
QV,Value of Agricultural Production,372,Ireland,57,Gross Production Value (current thousand US$),F2051,Agriculture,2007,2007,1000 US$,6330603,E,Estimated value
QV,Value of Agricultural Production,372,Ireland,57,Gross Production Value (current thousand US$),F2051,Agriculture,2008,2008,1000 US$,6786847,E,Estimated value
QV,Value of Agricultural Production,372,Ireland,57,Gross Production Value (current thousand US$),F2051,Agriculture,2009,2009,1000 US$,5154001,E,Estimated value
QV,Value of Agricultural Production,372,Ireland,57,Gross Production Value (current thousand US$),F2051,Agriculture,2010,2010,1000 US$,5872186,E,Estimated value
QV,Value of Agricultural Production,372,Ireland,57,Gross Production Value (current thousand US$),F2051,Agriculture,2011,2011,1000 US$,7538271,E,Estimated value
QV,Value of Agricultural Production,372,Ireland,57,Gross Production Value (current thousand US$),F2051,Agriculture,2012,2012,1000 US$,6912610,E,Estimated value
QV,Value of Agricultural Production,372,Ireland,57,Gross Production Value (current thousand US$),F2051,Agriculture,2013,2013,1000 US$,7682503,E,Estimated value
QV,Value of Agricultural Production,372,Ireland,57,Gross Production Value (current thousand US$),F2051,Agriculture,2014,2014,1000 US$,8188107,E,Estimated value
QV,Value of Agricultural Production,372,Ireland,57,Gross Production Value (current thousand US$),F2051,Agriculture,2015,2015,1000 US$,6698347,E,Estimated value
QV,Value of Agricultural Production,372,Ireland,57,Gross Production Value (current thousand US$),F2051,Agriculture,2016,2016,1000 US$,6560555,E,Estimated value
QV,Value of Agricultural Production,372,Ireland,57,Gross Production Value (current thousand US$),F2051,Agriculture,2017,2017,1000 US$,8032454,E,Estimated value
QV,Value of Agricultural Production,372,Ireland,57,Gross Production Value (current thousand US$),F2051,Agriculture,2018,2018,1000 US$,8287689,E,Estimated value
QV,Value of Agricultural Production,372,Ireland,57,Gross Production Value (current thousand US$),F2051,Agriculture,2019,2019,1000 US$,8104654,E,Estimated value
QV,Value of Agricultural Production,372,Ireland,57,Gross Production Value (current thousand US$),F2051,Agriculture,2020,2020,1000 US$,8454771,E,Estimated value
